Date,Open,High,Low,Close,Volume,Adj Close
2012-08-28,1.26,1.26,1.26,1.26,352700,1.26
2012-08-27,1.26,1.26,1.26,1.26,000,1.26
2012-08-24,1.26,1.27,1.26,1.26,1255300,1.26
2012-08-23,1.25,1.26,1.25,1.26,619400,1.26
2012-08-22,1.25,1.26,1.25,1.26,434900,1.26
2012-08-21,1.25,1.26,1.24,1.26,841800,1.26
2012-08-20,1.25,1.25,1.24,1.25,932800,1.25
2012-08-17,1.24,1.25,1.24,1.24,675800,1.24
2012-08-16,1.24,1.24,1.24,1.24,786900,1.24
2012-08-15,1.24,1.24,1.24,1.24,722400,1.24
2012-08-14,1.24,1.25,1.24,1.25,789200,1.25
2012-08-13,1.24,1.24,1.24,1.24,248700,1.24
2012-08-10,1.24,1.24,1.23,1.24,1382700,1.24
2012-08-09,1.24,1.24,1.23,1.24,652600,1.24
2012-08-08,1.23,1.24,1.23,1.24,969300,1.24
2012-08-07,1.23,1.24,1.23,1.24,213900,1.24
2012-08-06,1.24,1.24,1.23,1.24,675500,1.24
2012-08-03,1.23,1.24,1.23,1.24,682600,1.24
2012-08-02,1.24,1.24,1.23,1.23,776200,1.23
2012-08-01,1.24,1.24,1.23,1.23,1166100,1.23
2012-07-31,1.18,1.18,1.18,1.18,000,1.18
2012-07-30,1.23,1.24,1.23,1.24,637300,1.24
2012-07-27,1.23,1.24,1.23,1.23,2501600,1.23
2012-07-26,1.23,1.23,1.23,1.23,979100,1.23
2012-07-25,1.24,1.24,1.23,1.23,630700,1.23
2012-07-24,1.23,1.24,1.23,1.24,1305400,1.24
2012-07-23,1.23,1.23,1.23,1.23,490000,1.23
2012-07-20,1.24,1.24,1.23,1.24,334100,1.24
2012-07-19,1.23,1.24,1.23,1.24,818500,1.24
2012-07-18,1.23,1.23,1.23,1.23,628100,1.23
2012-07-17,1.23,1.23,1.23,1.23,746800,1.23
2012-07-16,1.23,1.23,1.22,1.23,840200,1.23
2012-07-13,1.22,1.23,1.22,1.23,1083800,1.23
2012-07-12,1.22,1.23,1.22,1.22,388700,1.22
2012-07-11,1.22,1.23,1.22,1.22,481700,1.22
2012-07-10,1.22,1.23,1.22,1.23,678100,1.23
2012-07-09,1.23,1.23,1.23,1.23,832900,1.23
2012-07-06,1.23,1.23,1.23,1.23,282700,1.23
2012-07-05,1.23,1.23,1.23,1.23,414300,1.23
